latitude,longitude,traffic_level,temperature,rain,timestamp_hour,delay
12.974908023769473,77.57872710405549,3,36.134295360894555,4.81097696429174,17,0
13.090142861281983,77.594687131875,4,20.330788985797533,5.480493880769717,6,1
13.04639878836228,77.67090947864044,4,23.73615796380997,18.414758713861122,22,1
13.019731696839408,77.56800087721199,2,33.09810604235662,1.5347902749051245,0,0
12.931203728088487,77.67392993696244,1,27.51518695607926,12.191216438096198,12,0
12.93119890406724,77.51762688619534,4,39.649653021222136,13.634719041312216,15,1
12.91161672243364,77.65535968744173,2,33.30809585276508,10.110834468594788,4,0
13.073235229154987,77.66950952661095,3,39.13097817458413,13.884637576462744,18,1
13.020223002348642,77.53636353056747,3,24.028929632915876,3.45509292023934,8,0
13.041614515559209,77.58606930647444,3,37.27914056230046,17.052644655430797,22,1
12.904116898859161,77.53309995493274,3,26.427046116304506,2.8005137893977117,8,0
13.093981970432399,77.64132082579884,2,39.79129616475613,8.016248886314994,11,0
13.066488528160084,77.60706955361233,1,23.153773441462945,1.505152026164116,17,0
12.942467822135656,77.62706466934166,2,30.32679637676653,10.904221576348004,23,0
12.93636499344142,77.53929739339124,1,35.85689067674244,13.394916148512783,9,0
12.936680901970687,77.54234917241048,3,28.65284961208072,18.82443270190581,16,1
12.960848448591907,77.50829946510198,4,29.361681203752934,14.786723917920018,18,1
13.004951286326447,77.56441350703915,4,39.72711591011482,10.822058329083022,23,1
12.986389003728423,77.61194893226674,4,28.506163006023066,18.652340343406674,10,1
12.958245828039608,77.67158698279947,1,32.081442011981274,9.568736760817531,15,0
13.022370578944475,77.63338548949174,3,21.090793213503012,11.224113061977388,7,1
12.927898772130408,77.58707926467996,2,36.844201604205196,11.921970553401914,23,0
12.958428929707043,77.69062402287884,4,32.963360979590874,8.199594517731336,14,1
12.973272368658739,77.64384904011517,1,28.080402057256272,16.769653811316484,10,0
12.991213996843408,77.68603304057251,4,20.323390799090394,3.7035187769011824,6,0
13.057035192278603,77.60551759465443,2,31.833376411870077,11.09684380743216,1,0
