expected_lead_time,actual_lead_time,distance,weather_disruption,anomaly_flag
46.8665057217855,50.36122880608843,47.256318412231956,0,0
49.270671434984415,51.059418968673725,26.3559889862305,0,0
42.1064681399253,53.054591935041984,80.86294817345156,0,1
46.463683940346705,46.84379521551995,73.03414497441743,0,0
41.799155783749754,51.9840885146759,48.6167556410867,0,1
51.515765356631555,47.36153924147494,22.79817273181436,0,0
47.11262477404985,40.63137504473796,74.32307834769762,1,0
36.07024794647259,49.93981711674533,90.89599078477552,0,1
53.190195020565604,54.331006467185524,26.04357355537717,0,0
42.147108181679386,51.897577293429336,64.23943840151284,0,0
61.33463695319317,53.996729473116076,48.18779218937472,0,0
44.582830491234404,48.8810977129882,17.88853235582657,0,0
45.10829449293009,43.77586073784835,75.32443084026896,0,0
48.80206373457434,48.965877669415725,16.40324953522947,0,0
35.928562443727174,46.127650190441315,73.20083404874912,0,1
50.20209746295233,49.63887131321387,35.30376048391284,0,0
51.506032073492946,48.29364878044075,60.90937773364324,0,0
52.53138179854329,53.14513610423372,24.44084578577437,0,0
49.40364875370926,41.08356472822824,43.380718287701654,0,0
48.45539129630906,36.31349573423857,19.368053955841035,0,1
40.41270903703256,48.39282987643165,52.05732590264227,0,0
50.465765193240316,46.22143275197622,29.196163213834733,0,0
47.79090530801616,45.40420947297703,26.913743058146864,0,0
45.86477801727306,44.46670456119281,19.643717649716766,0,0
42.83546945014466,47.81986091281718,78.8890608084852,0,0
50.39943145657231,50.06231899121031,67.55678895723666,0,0
46.386836563633345,50.74967094288794,24.12135709205267,0,0
38.58951853408685,33.75710918773376,52.51864489466405,0,0
46.88479954471417,47.48157647964635,69.47961538975547,0,0
44.14789565838458,39.08616164006812,89.0261816710742,0,0
52.37990595138764,52.45174918176697,15.361493899245762,0,0
47.17102348220593,51.10991439045988,42.611944301212404,0,0
46.6863749396314,42.67113845772702,65.4357920503491,0,0
49.54365676265427,48.4430047277527,11.405569632368167,0,0
56.37461468027041,37.983932557234304,31.917379304691572,0,1
50.030287587877034,50.18418391359645,77.04104814692184,0,0
44.05182633488285,50.256697909799556,42.016290873243655,0,0
40.21527572714984,51.79041397661214,17.604526562619462,0,1
54.651154992374885,51.107636419023315,66.39357919733911,1,0
35.74048547978972,45.30783000432768,32.50475141395543,0,0
47.89171868962736,42.85505622481982,73.14886838594816,0,0
59.74689447088106,44.518423524178104,91.0157384563321,0,1
39.11175500606859,47.37270819728156,57.50731665102186,0,0
42.414922229812134,41.680676291449785,63.92294732408551,0,0
48.99611239315617,46.27032073282944,56.296534586588656,1,0
43.97120143358248,46.271357632460926,83.56978811182617,0,0
47.42157523045876,53.58847326860433,31.75431739128858,1,0
50.12560066640701,50.35338889806708,46.138945099204896,0,0
50.84625492098009,44.403014550432765,90.55282896749908,0,0
53.539924947002305,49.4586346289897,75.12814205582914,0,0
40.092115420834155,50.10411005369488,38.80772670448074,0,1
54.331357703362315,39.324181632149816,84.93690461804127,0,1
54.73317632824484,58.37870428589247,31.49417895480306,0,0
52.22853444622777,47.08916608171186,67.07614174232083,0,0
42.34195635499725,43.495950262213896,96.0811261663938,0,0
42.085464228086074,48.100934848332265,61.723988193493724,0,0
49.48301280940412,43.40637972435413,81.95203114184586,0,0
51.21925680714349,39.202828962500774,76.18876701402469,1,1
53.87729439944337,50.81613563686692,87.91489278105786,0,0
45.59558142097087,48.21185604806966,97.18877614584221,0,0
51.1330179926776,49.30598021852692,12.008490134997274,0,0
50.86105206250803,39.54272817733297,12.508279423810324,0,1
44.727862251276626,50.27862483787163,63.4980069043073,0,0
45.79660477392815,46.86491755023206,95.88208155428742,0,0
40.01681202556066,41.73317481307342,53.71147653817109,0,0
42.680212701486695,43.45027903837023,85.58016075487124,0,0
44.8500042100617,55.86070316051086,79.11169778070938,1,1
50.60957661320005,45.81462151873626,54.84270465872441,1,0
